"race","age","engnat","gender","hand","source","country","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10"
12,35,1,1,1,1,"ZA",1,5,5,5,5,5,1,1,5,5,1,1,2,1,1,1,1,1,1,1,5,5,1,5,1,5,1,5,5,5,5,2,5,5,5,1,5,1,5,5,5,1,3,1,5,1,5,1,5,5
3,13,1,2,1,1,"ZA",4,2,5,1,4,1,5,3,5,2,3,2,3,5,1,2,2,2,3,1,1,5,2,5,1,5,1,5,1,5,5,3,5,1,3,1,5,1,4,5,5,1,4,1,5,1,5,4,3,5
13,29,1,2,1,1,"ZA",4,2,4,2,5,1,3,2,5,5,2,4,3,2,4,4,3,2,3,1,1,5,4,5,1,5,1,5,5,4,2,5,3,2,3,3,4,3,2,4,5,2,5,1,4,1,4,5,5,5
3,20,1,2,2,2,"ZA",2,3,5,2,4,3,5,3,4,3,1,5,1,5,2,2,1,1,1,1,1,5,1,4,1,3,1,5,4,5,3,4,5,2,1,5,2,3,2,4,4,1,5,1,4,1,4,3,5,4
13,23,2,2,1,1,"ZA",4,1,5,1,4,1,3,1,5,2,2,4,3,2,2,2,2,1,3,1,1,5,1,4,2,5,1,5,4,4,4,3,4,1,3,3,3,2,3,4,3,3,3,2,4,2,5,3,2,5
3,17,1,1,1,1,"ZA",2,4,3,3,3,3,2,3,3,2,4,4,3,1,2,2,4,2,4,4,3,3,4,3,4,3,3,4,3,3,3,1,5,2,2,3,4,3,3,4,5,1,5,2,5,1,4,4,5,5
3,42,1,1,2,1,"ZA",2,2,2,4,3,4,1,4,2,5,4,2,4,3,3,4,4,3,4,3,1,4,4,5,2,5,2,4,5,4,2,4,4,3,1,4,4,3,3,4,1,2,5,2,5,1,4,2,4,5
3,21,1,1,1,1,"ZA",5,2,4,4,4,3,5,3,3,5,5,4,5,1,2,4,5,5,2,5,4,4,4,3,3,5,3,4,3,5,2,4,4,5,1,5,1,5,1,3,5,1,5,1,1,1,3,5,5,5
3,20,1,1,1,1,"ZA",3,3,3,3,4,2,4,3,4,5,3,5,2,3,5,3,2,2,4,2,1,4,1,4,2,4,2,4,4,3,2,4,2,4,2,1,4,4,2,2,4,2,5,2,4,1,3,4,4,5
3,22,1,1,1,1,"ZA",3,1,3,3,4,2,3,3,4,5,1,4,2,3,2,2,2,2,2,2,2,5,2,4,2,4,1,4,3,4,2,4,4,3,1,3,3,3,2,3,5,1,5,2,5,1,5,4,4,5
1,29,2,1,1,1,"ZA",4,2,3,3,4,3,3,4,4,3,1,4,4,4,2,2,3,1,4,3,5,3,3,3,3,5,3,3,4,5,3,5,3,3,3,3,3,3,3,3,3,3,5,3,4,5,3,4,2,4
6,39,1,2,2,2,"ZA",1,3,3,4,4,3,1,2,1,5,5,2,5,2,2,5,3,5,3,5,1,5,3,4,2,4,3,3,4,3,5,5,5,3,2,3,3,3,3,2,5,4,5,2,3,1,2,5,5,5
13,24,2,2,1,1,"ZA",2,2,4,2,5,2,2,3,4,2,4,2,5,1,4,1,4,3,2,4,2,5,2,4,2,2,1,2,3,5,1,2,5,2,1,1,5,4,5,4,4,2,3,1,3,2,2,3,5,4
3,45,1,2,1,1,"ZA",1,5,3,5,2,3,1,5,1,5,5,2,5,3,4,5,1,1,4,2,1,5,1,5,1,5,1,5,5,5,3,5,2,3,2,5,3,3,2,3,5,4,4,2,3,2,5,5,3,3
6,36,2,2,1,1,"ZA",1,2,2,5,1,3,1,5,1,5,4,3,3,3,3,4,4,4,4,3,2,3,1,3,3,4,4,3,4,2,1,5,3,4,1,5,3,3,2,3,3,3,4,3,3,3,3,3,3,3
13,15,2,2,1,1,"ZA",2,3,4,2,4,2,3,5,4,4,3,4,4,3,5,4,4,3,4,4,1,4,1,5,1,5,1,4,5,4,4,4,2,2,1,5,3,3,2,4,4,4,5,3,5,1,4,3,5,5
3,39,1,2,1,1,"ZA",1,2,4,4,2,3,2,5,2,4,3,4,4,4,2,4,3,2,3,2,2,5,1,4,2,5,2,4,5,4,3,2,4,1,5,2,5,1,3,4,4,3,4,3,5,3,4,4,4,3
3,38,1,1,1,1,"ZA",4,2,5,2,4,2,4,3,4,3,4,2,4,4,1,4,4,4,4,2,3,3,4,3,3,3,3,2,1,4,5,1,4,2,5,1,4,2,3,5,4,1,5,1,5,1,5,2,5,5
4,19,2,1,1,1,"ZA",3,2,5,2,5,1,5,2,5,5,2,4,4,5,5,1,2,2,3,1,2,5,2,5,1,5,1,4,5,5,2,4,2,3,2,4,3,5,1,2,4,2,4,2,4,2,5,3,5,5
12,35,1,1,1,1,"ZA",1,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,5,1,5,5,5,5,1,5,5,5,1,5,1,5,5,5,1,3,3,5,1,5,1,5,5
3,46,1,2,2,1,"ZA",4,1,4,3,5,2,4,5,1,5,5,3,5,2,3,1,2,4,3,3,4,5,1,5,1,5,1,5,5,5,3,2,2,2,5,2,5,1,2,5,3,2,1,1,5,5,5,1,5,5
13,46,1,2,1,1,"ZA",2,2,4,4,4,4,2,5,1,3,4,2,5,1,4,5,3,3,4,2,1,5,2,5,2,5,1,4,1,4,2,5,3,5,2,5,4,3,3,4,4,4,5,2,4,5,4,2,4,5
3,47,2,2,1,1,"ZA",1,5,4,4,3,4,1,1,2,5,4,4,4,3,1,4,2,1,3,1,2,3,1,3,2,5,4,4,4,5,4,1,5,1,4,1,5,1,4,5,4,1,4,1,4,1,4,4,5,4
13,21,1,2,1,1,"ZA",2,2,4,2,5,1,4,5,2,4,3,4,3,1,2,2,2,1,2,4,1,5,2,4,1,4,1,3,3,3,2,4,5,2,2,4,5,3,2,4,4,1,5,1,5,1,5,3,4,5
3,21,1,1,3,1,"ZA",1,5,3,5,1,3,5,5,1,5,1,5,5,3,1,1,1,1,1,3,1,5,1,5,5,4,3,5,5,5,5,1,5,3,3,3,3,3,3,3,5,1,5,1,3,1,5,5,5,3
0,22,2,2,1,5,"ZA",3,1,5,3,5,1,5,3,4,3,3,3,5,3,4,4,5,2,4,2,1,4,1,5,1,5,1,5,5,5,3,3,4,3,2,5,4,2,5,3,2,3,5,2,5,1,5,1,5,5
3,41,2,1,1,1,"ZA",3,5,4,4,4,4,4,4,4,4,2,4,1,4,2,2,1,1,1,2,4,2,2,2,5,3,4,3,2,5,5,5,5,1,5,1,5,2,3,5,4,1,4,2,4,3,5,4,4,4
1,33,2,1,1,1,"ZA",2,5,3,4,2,4,1,1,2,5,2,5,5,3,3,1,2,2,3,2,3,4,2,4,3,5,3,3,4,3,4,2,5,2,4,3,4,2,4,4,2,2,4,2,4,2,4,2,4,4
3,31,2,2,1,1,"ZA",3,4,3,2,1,4,1,3,3,5,4,3,4,2,4,4,5,4,5,2,3,3,3,3,4,4,4,2,3,3,2,4,5,4,2,4,4,2,2,4,3,1,5,1,5,1,5,2,5,4
3,37,1,1,1,1,"ZA",4,2,5,4,5,2,5,2,5,2,3,5,5,3,3,4,2,1,4,3,2,5,3,4,2,5,1,4,4,4,4,1,5,2,3,1,5,2,4,4,5,1,5,2,4,2,5,5,5,4
3,49,1,2,1,5,"ZA",1,2,3,3,5,2,1,4,3,4,2,2,5,2,4,5,2,2,4,2,1,5,2,5,2,5,2,5,4,3,2,4,4,3,1,2,3,2,3,1,3,4,4,4,3,2,2,3,4,4
6,15,1,2,1,1,"ZA",3,3,2,1,3,2,2,1,4,3,1,3,1,3,2,2,4,4,4,1,4,2,5,1,4,1,4,2,2,2,2,4,3,2,1,5,1,4,1,2,5,1,5,2,4,1,5,5,4,4
13,33,1,2,1,1,"ZA",3,1,2,2,5,1,2,3,5,2,4,4,4,3,4,5,5,2,5,2,1,1,3,4,4,5,5,4,2,3,4,4,4,1,1,5,4,1,5,4,5,1,5,1,4,1,5,4,5,5
13,23,2,2,1,1,"ZA",2,4,2,4,4,4,2,5,2,4,4,2,4,2,4,2,2,2,2,2,2,3,3,4,3,4,2,5,2,4,5,2,4,1,2,3,4,2,3,4,5,4,4,3,4,2,5,5,4,3
6,18,2,2,1,1,"ZA",3,5,2,1,4,5,5,4,1,5,2,5,4,1,5,5,3,3,5,5,4,4,3,2,3,2,3,2,3,4,4,1,5,2,2,1,5,1,4,4,4,2,4,2,4,1,5,2,4,4
3,30,1,2,1,1,"ZA",5,1,5,2,5,1,5,1,5,3,3,1,5,3,3,3,3,5,2,3,2,5,2,2,2,5,1,3,5,5,3,1,3,3,5,3,5,3,3,3,3,3,5,3,4,3,5,3,3,5
3,28,2,2,1,1,"ZA",3,2,4,2,2,2,3,2,4,4,2,4,3,2,2,2,2,2,2,2,1,5,2,5,1,4,2,4,4,5,4,4,4,2,2,3,4,2,2,4,4,2,4,2,4,2,5,4,5,4
13,37,1,2,2,1,"ZA",4,3,4,2,5,1,4,3,4,5,2,4,3,4,2,1,1,1,1,1,2,4,1,4,1,5,1,5,4,5,3,1,4,1,3,1,5,1,4,4,5,3,3,2,4,1,5,5,5,4
13,33,2,1,1,1,"ZA",3,3,5,2,4,2,4,4,3,2,1,5,1,3,2,4,2,2,4,3,1,2,1,2,2,3,1,4,3,4,4,2,5,2,4,2,5,2,4,4,4,1,3,2,4,2,4,2,4,4
3,42,1,2,1,2,"ZA",1,3,2,4,4,1,3,3,1,3,4,3,5,3,4,3,3,3,5,3,1,5,2,5,1,5,1,3,5,4,3,3,2,3,3,1,3,1,3,2,4,1,5,1,4,1,3,4,5,5
5,27,1,1,1,1,"ZA",3,3,4,3,5,3,3,4,3,4,2,4,2,2,2,1,2,1,2,2,2,4,1,3,4,4,3,3,4,4,5,4,5,1,4,2,5,1,4,4,4,1,4,1,4,1,5,3,5,3
12,21,1,2,1,2,"ZA",1,1,5,5,1,5,1,5,1,5,5,1,5,5,5,5,5,5,5,5,1,1,5,5,1,5,1,5,5,5,1,1,5,1,1,1,5,5,1,5,1,5,5,1,1,1,1,1,5,1
13,25,1,1,2,2,"ZA",1,5,5,3,5,3,3,5,1,5,1,5,1,3,1,2,1,2,1,2,1,1,1,2,2,2,1,3,3,5,5,1,5,1,5,1,3,3,5,4,1,1,4,1,5,1,5,3,3,5
12,25,2,1,1,1,"ZA",4,2,4,2,4,1,5,2,4,2,3,4,4,2,3,2,1,1,1,1,4,4,3,4,4,1,3,4,4,4,2,5,3,5,1,5,1,5,1,1,5,1,5,1,5,1,3,5,5,5
13,34,2,2,1,1,"ZA",2,2,4,3,2,2,2,3,3,4,5,1,5,1,4,5,5,5,5,5,1,4,2,4,2,5,1,5,5,4,3,1,5,4,2,3,5,5,5,4,4,3,5,2,4,2,4,3,5,3
3,22,1,1,1,1,"ZA",3,3,3,3,2,3,2,5,2,4,5,4,1,4,4,5,4,2,5,3,2,5,2,3,3,4,3,3,2,3,2,1,4,3,2,2,5,3,4,4,3,3,5,2,5,1,3,3,5,4
3,32,2,1,1,5,"ZA",1,4,4,3,2,4,2,4,4,4,3,3,4,4,2,1,2,2,5,2,4,2,1,1,5,3,4,4,1,3,4,2,4,1,4,2,5,3,3,4,4,2,4,2,5,3,5,3,4,4
13,45,2,1,1,5,"ZA",5,1,5,1,5,1,4,1,5,5,3,4,5,1,4,5,5,4,5,4,2,5,2,3,2,5,3,5,5,5,4,5,4,1,2,5,2,1,4,5,4,1,3,1,4,1,5,2,4,4
3,38,1,1,1,1,"ZA",2,3,5,3,4,1,4,4,3,5,1,5,4,4,3,5,2,2,2,3,1,5,2,5,2,5,2,3,5,5,2,3,3,2,1,1,2,3,2,2,5,3,3,2,3,2,5,4,5,2
13,42,1,2,1,1,"ZA",1,3,1,3,1,4,1,2,3,5,5,1,5,1,5,5,1,5,5,5,4,2,3,3,5,3,3,2,3,2,1,4,4,2,3,4,3,3,2,2,3,3,4,2,4,1,4,1,5,5
3,45,2,2,1,2,"ZA",3,3,3,3,3,1,3,3,3,3,3,3,3,2,3,3,2,1,3,1,3,4,1,3,3,3,2,3,4,3,4,1,5,1,4,1,5,1,4,5,5,1,4,1,4,1,5,5,4,5
3,39,2,2,1,5,"ZA",1,1,5,1,5,1,4,2,5,1,1,3,4,5,3,1,3,1,3,1,1,3,1,4,2,4,1,3,5,4,4,1,5,1,2,1,5,3,5,4,4,3,2,4,5,2,4,3,4,5
4,27,1,1,2,2,"ZA",1,5,3,5,4,5,3,3,5,3,3,3,5,2,3,1,5,5,4,4,1,5,3,5,2,5,4,5,5,5,3,1,3,3,3,5,5,5,1,3,5,1,5,2,4,1,5,4,5,4
13,23,2,1,1,1,"ZA",1,4,3,4,3,1,1,5,1,5,4,4,3,2,5,3,2,1,2,1,5,5,1,5,5,5,1,5,4,5,3,3,4,4,3,3,4,3,4,3,3,2,3,3,4,1,5,1,5,4
3,45,2,2,1,5,"ZA",3,2,5,2,5,1,4,1,5,5,2,4,4,2,1,1,1,1,1,1,2,5,1,5,1,4,1,5,5,3,4,1,4,1,5,1,5,1,5,5,3,1,4,1,5,1,5,3,5,4
3,28,1,2,1,2,"ZA",4,3,5,2,5,2,5,4,4,2,1,5,1,5,3,1,1,1,2,1,2,5,1,4,2,2,2,3,3,5,3,2,3,2,2,3,3,3,2,3,3,1,4,1,5,1,5,3,5,5
3,54,1,2,1,1,"ZA",1,5,2,5,4,3,3,5,1,3,4,4,5,2,2,1,2,1,3,4,5,5,3,5,1,4,1,4,5,4,5,5,5,2,1,4,3,2,4,4,3,2,4,1,5,2,3,3,5,5
3,35,1,1,1,1,"ZA",2,3,5,4,4,2,4,4,3,4,1,5,1,1,1,2,4,3,4,4,4,4,4,2,2,4,2,1,2,4,4,4,4,3,1,4,3,1,1,4,4,1,4,1,4,1,5,4,5,4
4,34,1,1,1,1,"ZA",4,1,5,1,5,1,4,4,2,2,1,3,5,5,2,4,1,2,2,1,1,5,3,5,2,5,1,5,5,5,4,1,5,2,3,1,5,1,2,5,4,1,2,4,5,5,5,3,5,4
1,22,1,1,1,1,"ZA",1,1,5,1,5,1,5,1,5,1,1,5,1,1,1,1,1,1,1,1,1,5,1,5,1,5,1,5,5,5,5,1,5,1,5,1,5,1,5,5,5,5,5,5,5,1,5,1,5,5
3,45,2,2,1,5,"ZA",3,5,3,3,5,3,3,4,4,4,4,4,4,4,3,5,1,1,4,1,3,3,1,5,3,5,4,3,5,5,2,5,5,2,4,4,5,3,4,4,4,1,4,1,5,1,5,3,5,5
13,36,2,1,1,1,"ZA",3,3,3,3,5,1,3,3,3,3,1,4,3,4,1,3,1,1,1,1,1,5,1,5,1,5,1,5,5,5,2,1,5,1,4,1,5,3,5,5,3,1,5,1,5,1,5,3,5,5
3,23,1,1,1,2,"ZA",4,1,5,1,5,1,5,1,5,1,1,5,1,5,4,1,1,1,1,1,4,5,3,3,4,2,4,3,4,5,2,5,2,5,1,5,2,3,1,5,5,1,5,1,3,1,5,4,3,4
3,60,1,1,1,1,"ZA",1,4,3,4,4,4,2,4,1,3,3,4,4,2,4,4,4,4,3,4,1,3,4,4,2,4,2,3,2,2,2,2,2,4,4,3,4,2,4,4,4,4,4,4,3,2,4,4,4,3
4,21,1,2,1,1,"ZA",5,2,4,2,5,2,5,2,4,2,2,3,2,3,3,3,3,1,3,3,1,4,2,3,5,5,2,4,5,4,3,2,5,2,4,2,5,1,2,3,4,1,5,1,5,1,4,3,4,5
13,27,2,2,1,2,"ZA",1,3,3,3,2,2,2,4,2,5,3,4,4,2,3,3,3,2,4,3,1,3,1,4,3,4,2,4,4,2,3,4,3,4,3,4,4,3,3,3,4,3,3,4,3,3,4,4,4,3
